author,comment,clean_comment,normalized_comment
@MantanbociL_epep-h5d,"Kalau ada barisan pengaman pribadi menkeu, saya siap. Kita kawal pak pur dimana pun berada",kalau ada barisan pengaman pribadi menkeu saya siap kita kawal pak pur dimana pun berada,kalau ada barisan pengaman pribadi menkeu saya siap kita kawal pak pur dimana pun berada
@Pattinson1004,​ @MantanbociL_epep-h5d lgi nganggur bang ya?,h5d lgi nganggur bang ya,h5d lgi nganggur bang ya
@StayOnHalal,"Maaf ka, itu penulisan nama Tuhan Allah SWT pake huruf besar ya😊",maaf ka itu penulisan nama tuhan allah swt pake huruf besar ya,maaf ka itu penulisan nama tuhan allah swt pake huruf besar ya
@tommyaditya5968,"​ @Pattinson1004 😅😅 g gtu bang, takut ny bnyk yg mau menjatuhkan beliao,",g gtu bang takut ny bnyk yg mau menjatuhkan beliao,g gtu bang takut ny bnyk yang mau menjatuhkan beliao
@SariatieA-mm5fi,Iya..se7.org kaya Bahlil TDK bisa di Percaya...org nya suka kong kalingkong.,iya se7 org kaya bahlil tdk bisa di percaya org nya suka kong kalingkong,iya se7 org kaya bahlil tdk bisa di percaya org nya suka kong kalingkong
@wayyoffyouyuo868,Btw harta bahllil nyampe 300 miliar yg ketahuan,btw harta bahllil nyampe 300 miliar yg ketahuan,ngomong-ngomong harta bahllil nyampe 300 miliar yang ketahuan
@HadriannorNor,Pecat si bahlil buat beban kakyat kebijakan nya,pecat si bahlil buat beban kakyat kebijakan nya,pecat si bahlil buat beban kakyat kebijakan nya
@wayyoffyouyuo868,​ @HadriannorNor kenapa waktu kerusuhan dia aman ya padahal jelas harta dia gak wajar dia ( Bahlil) mantan ojol yg jadi relawan projo,kenapa waktu kerusuhan dia aman ya padahal jelas harta dia gak wajar dia bahlil mantan ojol yg jadi relawan projo,kenapa waktu kerusuhan dia aman ya padahal jelas harta dia gak wajar dia bahlil mantan ojol yang jadi relawan projo
@Ylin2018,Lada Hitam Emang Pedas 😅,lada hitam emang pedas,lada hitam emang pedas
@fandiresava,Tinggal nunggu waktu atau giliran 😅,tinggal nunggu waktu atau giliran,tinggal nunggu waktu atau giliran
@ekaindrayana2656,"Cepat2 lah di ganti manusia bahlil ini,. merugikan se bangsa ini.",cepat2 lah di ganti manusia bahlil ini merugikan se bangsa ini,cepat2 lah di ganti manusia bahlil ini merugikan se bangsa ini
@maizierbarid,sapa bilang bahlil itu manusia,sapa bilang bahlil itu manusia,sapa bilang bahlil itu manusia
@hasansugibit182,Minta dinepalkan tuh goblin,minta dinepalkan tuh goblin,minta dinepalkan tuh goblin
@sardihidayat3712,Grudukk aja mending biar mundur nih orang,grudukk aja mending biar mundur nih orang,grudukk saja mending biar mundur ini orang
@AhoAho-m4z8b,​ @hasansugibit182  😂😂 eh bener juga mirip goblin ya kalau dilihat2 😂yang bisa,eh bener juga mirip goblin ya kalau dilihat2 yang bisa,eh bener juga mirip goblin ya kalau dilihat2 yang bisa
@NurulAminatur,Q lebih percaya Dan lebih cinta nabi solo sih😂,q lebih percaya dan lebih cinta nabi solo sih,q lebih percaya dan lebih cinta nabi solo sih
@ShalahudinAlAyubiZLA,Awokawok Sebel ya bisnisnya di usik😂😂😂😂,awokawok sebel ya bisnisnya di usik,awokawok sebel ya bisnisnya di usik
@diancilok1794,"1 pertanyaan 
Bahlil apa jenis manusia ??",1 pertanyaan bahlil apa jenis manusia,1 pertanyaan bahlil apa jenis manusia
@roromera7685,"Indonesia mah kbnykan Mafia y 😭😭 sedihh Negara bnyk Mafia ... di Thailand pnya Persediaan kilang keren Gede klo Keadaan mendesak , atau Genting udh tenang, Indonesia nunggu import dulu , Pejabat Indonesia ga mikirin keadaan Negara kedepannya",indonesia mah kbnykan mafia y sedihh negara bnyk mafia di thailand pnya persediaan kilang keren gede klo keadaan mendesak atau genting udh tenang indonesia nunggu import dulu pejabat indonesia ga mikirin keadaan negara kedepannya,indonesia mah kbnykan mafia y sedihh negara bnyk mafia di thailand pnya persediaan kilang keren gede klo keadaan mendesak atau genting sudah tenang indonesia nunggu import dulu pejabat indonesia tidak mikirin keadaan negara kedepannya
@kingpinix.124,bahlil mirip kingkong,bahlil mirip kingkong,bahlil mirip kingkong
@Caslonbtc,"​ @wayyoffyouyuo868  cuma 300m, yang nggak ketahuan pasti puluhan triliun",cuma 300m yang nggak ketahuan pasti puluhan triliun,hanya 300m yang tidak ketahuan pasti puluhan triliun
@yuhdiananto8589,"Banyak yang bilang goblin bang
Bukan manusia",banyak yang bilang goblin bang bukan manusia,banyak yang bilang goblin bang bukan manusia
@HmmpssAh-c5n,emng bahlil itu manusia? baru tau saya,emng bahlil itu manusia baru tau saya,emng bahlil itu manusia baru tau saya
@Nail-u5u,Goblin emang gitu kelakuannya,goblin emang gitu kelakuannya,goblin emang gitu kelakuannya
@dodyrainst4871,"Rame"" tegas resuffle bahlil",rame tegas resuffle bahlil,rame tegas resuffle bahlil
@robertttt7605,Goblin tambang BAHLULLL,goblin tambang bahlulll,goblin tambang bahlulll
@muhaiminsobirin,​ @wayyoffyouyuo868 itu tabungan kali,itu tabungan kali,itu tabungan kali
@soundbomber3420,"​ @Ylin2018 macam cabe rawit,,,kecil tpi pedas....",macam cabe rawit kecil tpi pedas,macam cabe rawit kecil tapi pedas
@IvanAdelya,Belilin rantai...iket di pohon pisang...aja.,belilin rantai iket di pohon pisang aja,belilin rantai iket di pohon pisang saja
@erinnberlina4712,"Sebaiknya dipecat saja orang orang pintar sudah tidak ada yang percaya tidak bisa dibodohi masih banyak orang orang pintar yang akan bekerja, harga dirinya derajatnya lebih tinggi tidak mempermalukan dirinya sendiri dan orang tuanya yang mendidik agar pintar",sebaiknya dipecat saja orang orang pintar sudah tidak ada yang percaya tidak bisa dibodohi masih banyak orang orang pintar yang akan bekerja harga dirinya derajatnya lebih tinggi tidak mempermalukan dirinya sendiri dan orang tuanya yang mendidik agar pintar,sebaiknya dipecat saja orang orang pintar sudah tidak ada yang percaya tidak bisa dibodohi masih banyak orang orang pintar yang akan bekerja harga dirinya derajatnya lebih tinggi tidak mempermalukan dirinya sendiri dan orang tuanya yang mendidik agar pintar
@erinnberlina4712,"​ @wayyoffyouyuo868 harus diusut tuntas seluruh rakyat tau gaji pekerja rakyat perbulannya berapa jika melebihi harus di usut, orang orang pintar tidak mudah dibodohi",harus diusut tuntas seluruh rakyat tau gaji pekerja rakyat perbulannya berapa jika melebihi harus di usut orang orang pintar tidak mudah dibodohi,harus diusut tuntas seluruh rakyat tau gaji pekerja rakyat perbulannya berapa jika melebihi harus di usut orang orang pintar tidak mudah dibodohi
@mrartdeco,muka ky goblin kelakuan ky goblin. Gila juga bisa gitu,muka ky goblin kelakuan ky goblin gila juga bisa gitu,muka ky goblin kelakuan ky goblin gila juga bisa gitu
@hendrichairil667,goblin bang gobblinnn itu bahlil goblin,goblin bang gobblinnn itu bahlil goblin,goblin bang gobblinnn itu bahlil goblin
@MongkydLuffy-g6o3j,Goblin m memang😂 anj,goblin m memang anj,goblin m memang anj
@marine06,Doktor yg gelarnya dicabut.,doktor yg gelarnya dicabut,doktor yang gelarnya dicabut
@rmulyadinata1846,oknum mafia migas kok malah dijadikan menteri ESDM.. Gimana ini pak pres 😂,oknum mafia migas kok malah dijadikan menteri esdm gimana ini pak pres,oknum mafia migas kok malah dijadikan menteri esdm gimana ini pak pres
@PecintaTobrut-s3t7u,Bikin gemess.,bikin gemess,bikin gemess
@Sabranglayun,Tapi kok bisa jadi menteri ya?,tapi kok bisa jadi menteri ya,tapi kok bisa jadi menteri ya
@billyroykep1293,"Heran saya ....
BAHLUL kok di jadiin MENTERI ...
MENTERI ESDM lagi ...
Yang Aneh PRESIDEN nya atau yang MENGUSULKAN nya ....
😂😂😂😂",heran saya bahlul kok di jadiin menteri menteri esdm lagi yang aneh presiden nya atau yang mengusulkan nya,heran saya bahlul kok di jadiin menteri menteri esdm lagi yang aneh presiden nya atau yang mengusulkan nya
@iiskuswanto3949,emang itu manusia😂😂,emang itu manusia,emang itu manusia
@mbahkemo,NDASMU.... DIRUT PERTAMINA SELAMA INI DIKUASAI ALUMNI ITB ... ITB... ITB.....  TAPI GAK ADA GUNANYA !!!   GAK MAU BANGUN KILANG..... OOOOALAAAH ALUMNI ITB.....WUAHAHAHAHAAA,ndasmu dirut pertamina selama ini dikuasai alumni itb itb itb tapi gak ada gunanya gak mau bangun kilang ooooalaaah alumni itb wuahahahahaaa,ndasmu dirut pertamina selama ini dikuasai alumni itb itb itb tapi gak ada gunanya gak mau bangun kilang ooooalaaah alumni itb wuahahahahaaa
@mbahkemo,PAK ALOYSIUS.... BU NICKE... BU KAREN.... PAK ELIA MANIK... PAK BAIHAKI... ITU SEMUA ITB LHOOO    TAPI GAK BECUUUSSS..... HUAHAHAHAHAAA,pak aloysius bu nicke bu karen pak elia manik pak baihaki itu semua itb lhooo tapi gak becuuusss huahahahahaaa,pak aloysius bu nicke bu karen pak elia manik pak baihaki itu semua itb lhooo tapi gak becuuusss huahahahahaaa
@pecasndahe0368,Asal ngomong.. Pertamina isinya juga banyak ITB..  Intinya kalo gak impor gak ada cuannya...,asal ngomong pertamina isinya juga banyak itb intinya kalo gak impor gak ada cuannya,asal ngomong pertamina isinya juga banyak itb intinya kalo gak impor gak ada cuannya
@fadliramadhan682,"jebolan yg gk ad kampusnya, sama seperti junjungan ny si presiden sbelum nya",jebolan yg gk ad kampusnya sama seperti junjungan ny si presiden sbelum nya,jebolan yang tidak ad kampusnya sama seperti junjungan ny si presiden sbelum nya
@fadliramadhan682,"​ @mbahkemo inti nya d era sby pertamina untung, 

dan d era muldongo pertamina merugi dah gitu oplosan pula. 

d era prabowo pertamina ketauan oplosan, smoga pertamina tidak merugi",inti nya d era sby pertamina untung dan d era muldongo pertamina merugi dah gitu oplosan pula d era prabowo pertamina ketauan oplosan smoga pertamina tidak merugi,inti nya d era sby pertamina untung dan d era muldongo pertamina merugi sudah gitu oplosan pula d era prabowo pertamina ketauan oplosan smoga pertamina tidak merugi
@jj-tc5if,Bahli mantn supir angkot😂😂😂,bahli mantn supir angkot,bahli mantn supir angkot
@YoungMan-fe7qz,Itu Mentri mu ESDM.. kampus' nya ndak jelas 😅😅😅,itu mentri mu esdm kampus nya ndak jelas,itu mentri mu esdm kampus nya ndak jelas
@ikanghandil, @fadliramadhan682 Bru kluar dr semedi di hutan bro?,bru kluar dr semedi di hutan bro,bru kluar dari semedi di hutan bro
@johanessuryanata1544,"Kan dah S3 dari UI, ceunah",kan dah s3 dari ui ceunah,kan sudah s3 dari ui ceunah
@dutaupil,Donggok,donggok,donggok
@channelbaruku-x3b,Jebolan klo males ya mles aja klo dh di kipas2 dwit 😂😂😂 gtulah,jebolan klo males ya mles aja klo dh di kipas2 dwit gtulah,jebolan klo males ya mles saja klo dh di kipas2 dwit gtulah
@bintangadhwa7969,"sini dek..maen k sini...di tempat saya ada BUMN Pabrik Baja, petingginya langganan dari ITB...rugi mulu jarang dapet untung katanya....d subsidi negara mulu...itu dari jaman gw kecil sampe gw punya anak 3 masih bgtu aja...skrg ada perusahaan baja korea satu area ama tuh ama BUMN, baru operasi dari 2014 kyknya profitnya bagus2 aja(blom pernah denger ada PHK masal), sbagus2nya Kampus.. sepintar2nya akademik orang, klo masuk Plat merah jadi goblokk..klo gak ikutan goblok minimal jadi introvert lha di kantornya, sok dah cek ke lapangan klo gak percaya🤣🤣",sini dek maen k sini di tempat saya ada bumn pabrik baja petingginya langganan dari itb rugi mulu jarang dapet untung katanya d subsidi negara mulu itu dari jaman gw kecil sampe gw punya anak 3 masih bgtu aja skrg ada perusahaan baja korea satu area ama tuh ama bumn baru operasi dari 2014 kyknya profitnya bagus2 aja blom pernah denger ada phk masal sbagus2nya kampus sepintar2nya akademik orang klo masuk plat merah jadi goblokk klo gak ikutan goblok minimal jadi introvert lha di kantornya sok dah cek ke lapangan klo gak percaya,sini dek maen k sini di tempat saya ada bumn pabrik baja petingginya langganan dari itb rugi mulu jarang dapet untung katanya d subsidi negara mulu itu dari jaman saya kecil sampe saya punya anak 3 masih bgtu saja skrg ada perusahaan baja korea satu area ama tuh ama bumn baru operasi dari 2014 kyknya profitnya bagus2 saja blom pernah denger ada phk masal sbagus2nya kampus sepintar2nya akademik orang klo masuk plat merah jadi goblokk klo gak ikutan goblok minimal jadi introvert lha di kantornya sok sudah cek ke lapangan klo gak percaya
@xxatya,Endonesa pinter dikit bakar kilang. Lulusan ptn pinter nilep,endonesa pinter dikit bakar kilang lulusan ptn pinter nilep,endonesa pinter dikit bakar kilang lulusan ptn pinter nilep
@xxatya,"​ @jj-tc5if mustahil, gak keliatan kalu duduk di kursi pengemudi",tc5if mustahil gak keliatan kalu duduk di kursi pengemudi,tc5if mustahil gak keliatan kalu duduk di kursi pengemudi
@NavnavHasna,"​ @jj-tc5if prajogo pangestu juga mantan supir angkot bang, wkwkwk",tc5if prajogo pangestu juga mantan supir angkot bang wkwkwk,tc5if prajogo pangestu juga mantan supir angkot bang wkwkwk
@linduwow5595,Apa urusannya dengan Alumni,apa urusannya dengan alumni,apa urusannya dengan alumni
@faridaastuti9830,😅,,
@fadliramadhan682,"klo ada apa"" sama pak menkeu, rakyat harus kompak.

 jgn terpengaruh sama org"" sana yg ingin menjatuhkan.",klo ada apa sama pak menkeu rakyat harus kompak jgn terpengaruh sama org sana yg ingin menjatuhkan,klo ada apa sama pak menkeu rakyat harus kompak jgn terpengaruh sama org sana yang ingin menjatuhkan
@wiraridwan9819,Real gelap ini mah si hama ireng😂,real gelap ini mah si hama ireng,real gelap ini mah si hama ireng
@firman_mustaqim,Bahlil kan memang gelap😅,bahlil kan memang gelap,bahlil kan memang gelap
@kurniawan_awn,​ @firman_mustaqim  gelap semuanya tu bahlil,gelap semuanya tu bahlil,gelap semuanya tu bahlil
@Aaaa1-71,ya karena dpr pun ga suka pak purbaya berarti orang jujur banyak yg ingin menjatuhkan,ya karena dpr pun ga suka pak purbaya berarti orang jujur banyak yg ingin menjatuhkan,ya karena dpr pun tidak suka pak purbaya berarti orang jujur banyak yang ingin menjatuhkan
@coffeelover5827,"Jangan kasih kendor sri mul, dia udah mencekik puluhan tahun. Pajakin lagi rumah nya",jangan kasih kendor sri mul dia udah mencekik puluhan tahun pajakin lagi rumah nya,jangan kasih kendor sri mul dia sudah mencekik puluhan tahun pajakin lagi rumah nya
@asalngevlog-f4w,Semua ada masanya..jngn langsung dibandingkan kerja 10 tahun dengan kerja yg masih 10 hari.,semua ada masanya jngn langsung dibandingkan kerja 10 tahun dengan kerja yg masih 10 hari,semua ada masanya jngn langsung dibandingkan kerja 10 tahun dengan kerja yang masih 10 hari
@Itsmeeyouyun,GELLLLAAPPPP😂 SEKKKKKKALLLLLLLIIIIIII😅,gellllaapppp sekkkkkkallllllliiiiiii,gellllaapppp sekkkkkkallllllliiiiiii
@yanzdayenz,Awal awal kalian demo 😂,awal awal kalian demo,awal awal kalian demo
@IrsanEdukasi,G rugi bayar pajak kalau dipakenya bener 🎉🎉🎉,g rugi bayar pajak kalau dipakenya bener,g rugi bayar pajak kalau dipakenya bener
@AgungNgurahWiguna,"Kalau menteri kalah, cair cair.. cair😂",kalau menteri kalah cair cair cair,kalau menteri kalah cair cair cair
@kukrikaratan,Dana kilang udah kita bagi-bagi belikan tas kresek😂😂❤❤,dana kilang udah kita bagi bagi belikan tas kresek,dana kilang sudah kita bagi bagi belikan tas kresek
@WiraAdiarsa,Sengaja TDK dibangun agar import tetap jalan itu agar komisi dari import banyak,sengaja tdk dibangun agar import tetap jalan itu agar komisi dari import banyak,sengaja tdk dibangun agar import tetap jalan itu agar komisi dari import banyak
@secondnightfrombehind,Kue dah dibagi😂 dah jadi teek😂😂😂,kue dah dibagi dah jadi teek,kue sudah dibagi sudah jadi teek
@Threehimovic,gasss💣,gasss,gasss
@Pattinson1004,"Baiklah, nanti sore akan kmi tangkap🙇🏻🙇🏻🙇🏻",baiklah nanti sore akan kmi tangkap,baiklah nanti sore akan kmi tangkap
@ryanbidam9329,Betul!!!,betul,betul
@deniardiansyah8142,"Ok, bahlil di nepalkan",ok bahlil di nepalkan,oke bahlil di nepalkan
@Serang775,NANTI SORE SAYA AKAN KE RUMAH BAHLIL Y ADIK2.SAYA KAN TANGKAP BAHLIL,nanti sore saya akan ke rumah bahlil y adik2 saya kan tangkap bahlil,nanti sore saya akan ke rumah bahlil y adik2 saya kan tangkap bahlil
@faiqulmuawin9991,​ @deniardiansyah8142 si goblin hrus di Nepal kan,si goblin hrus di nepal kan,si goblin hrus di nepal kan
@cordobaivank7623,Suruh pemadam aja yg tangkap 😂,suruh pemadam aja yg tangkap,suruh pemadam saja yang tangkap
@hansmusik8963,"Jangan sekarang blm balik modal, 
KPK Ngumpulin BB nya jg masih nanggung.",jangan sekarang blm balik modal kpk ngumpulin bb nya jg masih nanggung,jangan sekarang belum balik modal kpk ngumpulin bb nya jg masih nanggung
@JohnBone-sy1nn,Gila memang,gila memang,gila memang
@Oppoku-br3sc,Di indonesia ini pejabat nya banyak yg maling,di indonesia ini pejabat nya banyak yg maling,di indonesia ini pejabat nya banyak yang maling
@antonriswanto7774,Betul...Ukraina saja secara logika mungkin keuangan negara nya sedang tdk baik baik saja karena terus terusan perang. Tapi mereka mampu membangun kembali kilang minyak mereka. Masa Indonesia tak mampu.,betul ukraina saja secara logika mungkin keuangan negara nya sedang tdk baik baik saja karena terus terusan perang tapi mereka mampu membangun kembali kilang minyak mereka masa indonesia tak mampu,betul ukraina saja secara logika mungkin keuangan negara nya sedang tdk baik baik saja karena terus terusan perang tapi mereka mampu membangun kembali kilang minyak mereka masa indonesia tak mampu
